startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,congestionCar1,congestionCar2,congestionCar3,congestionCar4,congestionCar5,congestionCar6,congestionCar7,congestionCar8,congestionCar9,congestionCar10
211,성수역,219,삼성역,212,건대입구역,1,0,WED,18,10,0,0,0,0,0,0,0,0,0,0
211,성수역,219,삼성역,212,건대입구역,1,0,WED,18,20,0,0,0,0,0,0,0,0,0,0
211,성수역,219,삼성역,212,건대입구역,1,0,WED,18,30,0,0,0,0,0,0,0,0,0,0
211,성수역,219,삼성역,212,건대입구역,1,0,WED,18,40,0,0,0,0,0,0,0,0,0,0
211,성수역,219,삼성역,212,건대입구역,1,0,WED,18,50,0,0,0,0,0,0,0,0,0,0
211,성수역,228,서울대입구역,212,건대입구역,1,0,WED,18,00,0,0,0,0,0,0,0,0,0,0
211,성수역,228,서울대입구역,212,건대입구역,1,0,WED,18,10,0,0,0,0,0,0,0,0,0,0
211,성수역,228,서울대입구역,212,건대입구역,1,0,WED,18,20,0,0,0,0,0,0,0,0,0,0
211,성수역,228,서울대입구역,212,건대입구역,1,0,WED,18,30,0,0,0,0,0,0,0,0,0,0
211,성수역,228,서울대입구역,212,건대입구역,1,0,WED,18,40,0,0,0,0,0,0,0,0,0,0
211,성수역,228,서울대입구역,212,건대입구역,1,0,WED,18,50,0,0,0,0,0,0,0,0,0,0
211,성수역,234,신도림역,212,건대입구역,1,0,WED,18,00,0,0,0,0,0,0,0,0,0,0
211,성수역,234,신도림역,212,건대입구역,1,0,WED,18,10,0,0,0,0,0,0,0,0,0,0
211,성수역,234,신도림역,212,건대입구역,1,0,WED,18,20,0,0,0,0,0,0,0,0,0,0
211,성수역,234,신도림역,212,건대입구역,1,0,WED,18,30,0,0,0,0,0,0,0,0,0,0
211,성수역,234,신도림역,212,건대입구역,1,0,WED,18,40,14,15,16,16,15,16,19,18,16,14
211,성수역,234,신도림역,212,건대입구역,1,0,WED,18,50,28,29,32,33,31,34,38,39,25,32
211,성수역,239,홍대입구역,212,건대입구역,1,0,WED,18,00,0,0,0,0,0,0,0,0,0,0
211,성수역,239,홍대입구역,212,건대입구역,1,0,WED,18,10,0,0,0,0,0,0,0,0,0,0
211,성수역,239,홍대입구역,212,건대입구역,1,0,WED,18,20,0,0,0,0,0,0,0,0,0,0
211,성수역,239,홍대입구역,212,건대입구역,1,0,WED,18,30,0,0,0,0,0,0,0,0,0,0
211,성수역,239,홍대입구역,212,건대입구역,1,0,WED,18,40,0,0,0,0,0,0,0,0,0,0
211,성수역,239,홍대입구역,212,건대입구역,1,0,WED,18,50,0,0,0,0,0,0,0,0,0,0
219,삼성역,211-R,성수역,214,강변역,0,0,WED,18,00,0,0,0,0,0,0,0,0,0,0
219,삼성역,211-R,성수역,214,강변역,0,0,WED,18,10,0,0,0,0,0,0,0,0,0,0
219,삼성역,211-R,성수역,214,강변역,0,0,WED,18,20,0,0,0,0,0,0,0,0,0,0
219,삼성역,211-R,성수역,214,강변역,0,0,WED,18,30,0,0,0,0,0,0,0,0,0,0
219,삼성역,211-R,성수역,214,강변역,0,0,WED,18,40,0,0,0,0,0,0,0,0,0,0
219,삼성역,211-R,성수역,214,강변역,0,0,WED,18,50,0,0,0,0,0,0,0,0,0,0
228,서울대입구역,211,성수역,214,강변역,0,0,WED,18,00,60,82,67,69,66,80,72,69,52,44
228,서울대입구역,211,성수역,214,강변역,0,0,WED,18,10,82,77,84,74,78,79,86,84,56,60
228,서울대입구역,211,성수역,214,강변역,0,0,WED,18,20,83,97,99,93,109,112,118,94,83,82
228,서울대입구역,211,성수역,214,강변역,0,0,WED,18,30,71,81,90,90,71,79,92,82,66,67
228,서울대입구역,211,성수역,214,강변역,0,0,WED,18,40,49,53,60,57,53,58,67,65,45,52
228,서울대입구역,211,성수역,214,강변역,0,0,WED,18,50,39,46,46,45,44,48,57,48,36,41
228,서울대입구역,211-R,성수역,214,강변역,0,0,WED,18,00,0,0,0,0,0,0,0,0,0,0
228,서울대입구역,211-R,성수역,214,강변역,0,0,WED,18,10,0,0,0,0,0,0,0,0,0,0
228,서울대입구역,211-R,성수역,214,강변역,0,0,WED,18,20,0,0,0,0,0,0,0,0,0,0
228,서울대입구역,211-R,성수역,214,강변역,0,0,WED,18,30,0,0,0,0,0,0,0,0,0,0
228,서울대입구역,211-R,성수역,214,강변역,0,0,WED,18,40,0,0,0,0,0,0,0,0,0,0
228,서울대입구역,211-R,성수역,214,강변역,0,0,WED,18,50,0,0,0,0,0,0,0,0,0,0
234,신도림역,211,성수역,214,강변역,0,0,WED,18,00,0,0,0,0,0,0,0,0,0,0
234,신도림역,211,성수역,214,강변역,0,0,WED,18,10,0,0,0,0,0,0,0,0,0,0
234,신도림역,211,성수역,214,강변역,0,0,WED,18,20,0,0,0,0,0,0,0,0,0,0
234,신도림역,211,성수역,214,강변역,0,0,WED,18,30,0,0,0,0,0,0,0,0,0,0
234,신도림역,211,성수역,214,강변역,0,0,WED,18,40,0,0,0,0,0,0,0,0,0,0
234,신도림역,211,성수역,214,강변역,0,0,WED,18,50,0,0,0,0,0,0,0,0,0,0
234,신도림역,211-R,성수역,214,강변역,0,0,WED,18,00,90,122,101,103,99,120,108,103,77,65
234,신도림역,211-R,성수역,214,강변역,0,0,WED,18,10,106,101,109,97,101,103,112,110,72,78
234,신도림역,211-R,성수역,214,강변역,0,0,WED,18,20,106,124,126,119,140,143,151,120,106,104
234,신도림역,211-R,성수역,214,강변역,0,0,WED,18,30,112,128,141,142,112,124,144,128,104,106
234,신도림역,211-R,성수역,214,강변역,0,0,WED,18,40,54,59,66,63,59,65,74,72,50,58
234,신도림역,211-R,성수역,214,강변역,0,0,WED,18,50,0,0,0,0,0,0,0,0,0,0
239,홍대입구역,211,성수역,214,강변역,0,0,WED,18,00,0,0,0,0,0,0,0,0,0,0
239,홍대입구역,211,성수역,214,강변역,0,0,WED,18,10,0,0,0,0,0,0,0,0,0,0
239,홍대입구역,211,성수역,214,강변역,0,0,WED,18,20,0,0,0,0,0,0,0,0,0,0
239,홍대입구역,211,성수역,214,강변역,0,0,WED,18,30,0,0,0,0,0,0,0,0,0,0
239,홍대입구역,211,성수역,214,강변역,0,0,WED,18,40,0,0,0,0,0,0,0,0,0,0
239,홍대입구역,211,성수역,214,강변역,0,0,WED,18,50,0,0,0,0,0,0,0,0,0,0
239,홍대입구역,211-R,성수역,214,강변역,0,0,WED,18,00,0,0,0,0,0,0,0,0,0,0
239,홍대입구역,211-R,성수역,214,강변역,0,0,WED,18,10,0,0,0,0,0,0,0,0,0,0
239,홍대입구역,211-R,성수역,214,강변역,0,0,WED,18,20,0,0,0,0,0,0,0,0,0,0
239,홍대입구역,211-R,성수역,214,강변역,0,0,WED,18,30,0,0,0,0,0,0,0,0,0,0
239,홍대입구역,211-R,성수역,214,강변역,0,0,WED,18,40,0,0,0,0,0,0,0,0,0,0
239,홍대입구역,211-R,성수역,214,강변역,0,0,WED,18,50,0,0,0,0,0,0,0,0,0,0
202,을지로입구역,211,성수역,214,강변역,0,0,WED,19,00,0,0,0,0,0,0,0,0,0,0
202,을지로입구역,211,성수역,214,강변역,0,0,WED,19,10,0,0,0,0,0,0,0,0,0,0
202,을지로입구역,211,성수역,214,강변역,0,0,WED,19,20,0,0,0,0,0,0,0,0,0,0
202,을지로입구역,211,성수역,214,강변역,0,0,WED,19,30,0,0,0,0,0,0,0,0,0,0
202,을지로입구역,211,성수역,214,강변역,0,0,WED,19,40,0,0,0,0,0,0,0,0,0,0
202,을지로입구역,211,성수역,214,강변역,0,0,WED,19,50,0,0,0,0,0,0,0,0,0,0
202,을지로입구역,211-R,성수역,214,강변역,0,0,WED,19,00,0,0,0,0,0,0,0,0,0,0
202,을지로입구역,211-R,성수역,214,강변역,0,0,WED,19,10,0,0,0,0,0,0,0,0,0,0
202,을지로입구역,211-R,성수역,214,강변역,0,0,WED,19,20,0,0,0,0,0,0,0,0,0,0
202,을지로입구역,211-R,성수역,214,강변역,0,0,WED,19,30,0,0,0,0,0,0,0,0,0,0
