updnLine,dow,hh,mm,congestionCar1,congestionCar2,congestionCar3,congestionCar4,congestionCar5,congestionCar6,congestionCar7,congestionCar8,congestionCar9,congestionCar10
0,TUE,18,10,0,0,0,0,0,0,0,0,0,0
0,TUE,18,20,0,0,0,0,0,0,0,0,0,0
0,TUE,18,30,0,0,0,0,0,0,0,0,0,0
0,TUE,18,40,0,0,0,0,0,0,0,0,0,0
0,TUE,18,50,0,0,0,0,0,0,0,0,0,0
1,TUE,18,00,33,39,44,39,33,36,44,39,38,36
1,TUE,18,10,57,66,68,73,62,72,69,67,71,66
1,TUE,18,20,57,61,63,68,65,65,74,70,69,78
1,TUE,18,30,62,70,74,92,78,69,92,95,76,91
1,TUE,18,40,66,72,72,75,69,73,86,86,72,68
1,TUE,18,50,46,48,53,57,53,57,64,65,43,55
0,TUE,18,00,50,68,56,57,56,67,60,59,43,36
0,TUE,18,10,79,75,82,73,75,77,84,82,54,59
0,TUE,18,20,85,98,100,96,109,113,119,94,84,82
0,TUE,18,30,71,83,89,89,73,78,92,83,66,66
0,TUE,18,40,51,56,63,61,56,62,70,68,48,55
0,TUE,18,50,38,43,44,43,42,46,55,46,35,39
1,TUE,18,00,35,42,48,42,35,39,48,42,41,39
1,TUE,18,10,35,40,42,45,38,44,42,41,43,40
1,TUE,18,20,38,41,43,46,44,44,50,47,46,53
1,TUE,18,30,43,48,51,63,54,48,63,65,52,63
1,TUE,18,40,48,53,53,55,51,53,63,63,53,49
1,TUE,18,50,44,46,50,54,50,54,60,61,40,52
1,TUE,18,00,0,0,0,0,0,0,0,0,0,0
1,TUE,18,10,0,0,0,0,0,0,0,0,0,0
1,TUE,18,20,0,0,0,0,0,0,0,0,0,0
1,TUE,18,30,0,0,0,0,0,0,0,0,0,0
1,TUE,18,40,0,0,0,0,0,0,0,0,0,0
1,TUE,18,50,0,0,0,0,0,0,0,0,0,0
1,TUE,18,00,0,0,0,0,0,0,0,0,0,0
1,TUE,18,10,0,0,0,0,0,0,0,0,0,0
1,TUE,18,20,0,0,0,0,0,0,0,0,0,0
1,TUE,18,30,0,0,0,0,0,0,0,0,0,0
1,TUE,18,40,0,0,0,0,0,0,0,0,0,0
1,TUE,18,50,0,0,0,0,0,0,0,0,0,0
1,TUE,18,00,0,0,0,0,0,0,0,0,0,0
1,TUE,18,10,0,0,0,0,0,0,0,0,0,0
1,TUE,18,20,0,0,0,0,0,0,0,0,0,0
1,TUE,18,30,0,0,0,0,0,0,0,0,0,0
1,TUE,18,40,19,20,21,21,20,21,25,25,20,19
1,TUE,18,50,35,37,40,43,40,43,48,49,33,41
1,TUE,18,00,0,0,0,0,0,0,0,0,0,0
1,TUE,18,10,0,0,0,0,0,0,0,0,0,0
1,TUE,18,20,0,0,0,0,0,0,0,0,0,0
1,TUE,18,30,0,0,0,0,0,0,0,0,0,0
1,TUE,18,40,0,0,0,0,0,0,0,0,0,0
1,TUE,18,50,0,0,0,0,0,0,0,0,0,0
0,TUE,18,00,0,0,0,0,0,0,0,0,0,0
0,TUE,18,10,0,0,0,0,0,0,0,0,0,0
0,TUE,18,20,0,0,0,0,0,0,0,0,0,0
0,TUE,18,30,0,0,0,0,0,0,0,0,0,0
0,TUE,18,40,0,0,0,0,0,0,0,0,0,0
0,TUE,18,50,0,0,0,0,0,0,0,0,0,0
0,TUE,18,00,53,72,60,61,60,72,64,63,46,39
0,TUE,18,10,81,76,83,74,76,79,85,83,55,60
0,TUE,18,20,90,104,106,102,115,120,126,100,89,87
0,TUE,18,30,71,83,89,89,73,78,92,83,66,66
0,TUE,18,40,52,57,64,62,57,63,71,70,49,56
0,TUE,18,50,38,43,44,43,42,46,55,46,35,39
0,TUE,18,00,0,0,0,0,0,0,0,0,0,0
0,TUE,18,10,0,0,0,0,0,0,0,0,0,0
0,TUE,18,20,0,0,0,0,0,0,0,0,0,0
0,TUE,18,30,0,0,0,0,0,0,0,0,0,0
0,TUE,18,40,0,0,0,0,0,0,0,0,0,0
0,TUE,18,50,0,0,0,0,0,0,0,0,0,0
0,TUE,18,00,0,0,0,0,0,0,0,0,0,0
0,TUE,18,10,0,0,0,0,0,0,0,0,0,0
0,TUE,18,20,0,0,0,0,0,0,0,0,0,0
0,TUE,18,30,0,0,0,0,0,0,0,0,0,0
0,TUE,18,40,0,0,0,0,0,0,0,0,0,0
0,TUE,18,50,0,0,0,0,0,0,0,0,0,0
0,TUE,18,00,73,99,82,84,82,98,88,87,63,53
0,TUE,18,10,87,82,89,80,82,85,92,90,59,65
0,TUE,18,20,116,134,137,132,148,155,163,129,115,112
0,TUE,18,30,82,96,102,103,84,90,106,95,76,77
0,TUE,18,40,78,87,98,94,86,95,108,106,74,85
0,TUE,18,50,40,45,46,45,43,48,57,48,36,40
0,TUE,18,00,0,0,0,0,0,0,0,0,0,0
0,TUE,18,10,0,0,0,0,0,0,0,0,0,0
0,TUE,18,20,0,0,0,0,0,0,0,0,0,0
0,TUE,18,30,0,0,0,0,0,0,0,0,0,0
0,TUE,18,40,0,0,0,0,0,0,0,0,0,0
0,TUE,18,50,0,0,0,0,0,0,0,0,0,0
0,TUE,18,00,0,0,0,0,0,0,0,0,0,0
0,TUE,18,10,0,0,0,0,0,0,0,0,0,0
0,TUE,18,20,0,0,0,0,0,0,0,0,0,0
0,TUE,18,30,0,0,0,0,0,0,0,0,0,0
0,TUE,18,40,0,0,0,0,0,0,0,0,0,0
0,TUE,18,50,0,0,0,0,0,0,0,0,0,0
0,WED,18,00,0,0,0,0,0,0,0,0,0,0
0,WED,18,10,0,0,0,0,0,0,0,0,0,0
0,WED,18,20,0,0,0,0,0,0,0,0,0,0
0,WED,18,30,0,0,0,0,0,0,0,0,0,0
0,WED,18,40,0,0,0,0,0,0,0,0,0,0
0,WED,18,50,0,0,0,0,0,0,0,0,0,0
0,WED,18,00,0,0,0,0,0,0,0,0,0,0
0,WED,18,10,0,0,0,0,0,0,0,0,0,0
0,WED,18,20,0,0,0,0,0,0,0,0,0,0
0,WED,18,30,0,0,0,0,0,0,0,0,0,0
0,WED,18,40,0,0,0,0,0,0,0,0,0,0
0,WED,18,50,0,0,0,0,0,0,0,0,0,0
1,WED,18,00,0,0,0,0,0,0,0,0,0,0
1,WED,18,10,0,0,0,0,0,0,0,0,0,0
1,WED,18,20,0,0,0,0,0,0,0,0,0,0
1,WED,18,30,0,0,0,0,0,0,0,0,0,0
1,WED,18,40,0,0,0,0,0,0,0,0,0,0
1,WED,18,50,0,0,0,0,0,0,0,0,0,0
0,WED,18,00,0,0,0,0,0,0,0,0,0,0
0,WED,18,10,0,0,0,0,0,0,0,0,0,0
0,WED,18,20,0,0,0,0,0,0,0,0,0,0
0,WED,18,30,0,0,0,0,0,0,0,0,0,0
0,WED,18,40,0,0,0,0,0,0,0,0,0,0
0,WED,18,50,0,0,0,0,0,0,0,0,0,0
1,WED,18,00,66,78,90,79,66,73,90,79,76,72
1,WED,18,10,65,76,78,84,72,83,79,77,81,75
1,WED,18,20,60,64,67,72,69,69,79,74,73,83
1,WED,18,30,57,64,68,84,71,63,84,87,69,83
1,WED,18,40,73,80,80,83,77,81,96,96,80,75
1,WED,18,50,48,50,55,59,55,59,66,68,44,57
0,WED,18,00,49,66,55,56,55,65,59,58,42,35
0,WED,18,10,74,70,76,68,70,72,78,76,50,55
0,WED,18,20,80,93,95,91,103,107,113,90,80,78
0,WED,18,30,69,81,86,87,71,76,90,81,64,65
0,WED,18,40,48,53,60,58,53,58,66,65,45,52
0,WED,18,50,38,43,44,43,42,46,55,46,35,39
1,WED,18,00,41,48,55,48,40,44,55,48,47,44
1,WED,18,10,39,45,47,50,43,49,47,46,49,45
1,WED,18,20,47,50,52,56,53,53,61,57,56,64
1,WED,18,30,44,50,53,65,56,49,65,68,54,65
1,WED,18,40,43,47,47,49,45,47,56,56,47,44
1,WED,18,50,35,37,40,43,40,43,48,49,33,41
1,WED,18,00,0,0,0,0,0,0,0,0,0,0
1,WED,18,10,0,0,0,0,0,0,0,0,0,0
1,WED,18,20,0,0,0,0,0,0,0,0,0,0
1,WED,18,30,0,0,0,0,0,0,0,0,0,0
1,WED,18,40,0,0,0,0,0,0,0,0,0,0
1,WED,18,50,0,0,0,0,0,0,0,0,0,0
1,WED,18,00,0,0,0,0,0,0,0,0,0,0
1,WED,18,10,0,0,0,0,0,0,0,0,0,0
1,WED,18,20,0,0,0,0,0,0,0,0,0,0
1,WED,18,30,0,0,0,0,0,0,0,0,0,0
1,WED,18,40,0,0,0,0,0,0,0,0,0,0
1,WED,18,50,0,0,0,0,0,0,0,0,0,0
1,WED,18,00,0,0,0,0,0,0,0,0,0,0
1,WED,18,10,0,0,0,0,0,0,0,0,0,0
1,WED,18,20,0,0,0,0,0,0,0,0,0,0
1,WED,18,30,0,0,0,0,0,0,0,0,0,0
1,WED,18,40,14,16,16,16,15,16,19,19,16,15
1,WED,18,50,28,29,31,34,31,34,38,39,25,32
1,WED,18,00,0,0,0,0,0,0,0,0,0,0
1,WED,18,10,0,0,0,0,0,0,0,0,0,0
1,WED,18,20,0,0,0,0,0,0,0,0,0,0
1,WED,18,30,0,0,0,0,0,0,0,0,0,0
1,WED,18,40,0,0,0,0,0,0,0,0,0,0
1,WED,18,50,0,0,0,0,0,0,0,0,0,0
0,WED,18,00,0,0,0,0,0,0,0,0,0,0
0,WED,18,10,0,0,0,0,0,0,0,0,0,0
0,WED,18,20,0,0,0,0,0,0,0,0,0,0
0,WED,18,30,0,0,0,0,0,0,0,0,0,0
0,WED,18,40,0,0,0,0,0,0,0,0,0,0
0,WED,18,50,0,0,0,0,0,0,0,0,0,0
0,WED,18,00,56,76,63,64,63,75,67,66,48,41
0,WED,18,10,78,74,81,72,74,76,83,81,53,58
0,WED,18,20,81,94,96,92,104,109,114,91,81,78
0,WED,18,30,71,83,89,89,73,78,92,83,66,66
0,WED,18,40,47,51,58,56,51,56,64,63,44,50
0,WED,18,50,38,43,44,43,42,46,55,46,35,39
0,WED,18,00,0,0,0,0,0,0,0,0,0,0
0,WED,18,10,0,0,0,0,0,0,0,0,0,0
0,WED,18,20,0,0,0,0,0,0,0,0,0,0
0,WED,18,30,0,0,0,0,0,0,0,0,0,0
0,WED,18,40,0,0,0,0,0,0,0,0,0,0
0,WED,18,50,0,0,0,0,0,0,0,0,0,0
0,WED,18,00,0,0,0,0,0,0,0,0,0,0
0,WED,18,10,0,0,0,0,0,0,0,0,0,0
0,WED,18,20,0,0,0,0,0,0,0,0,0,0
0,WED,18,30,0,0,0,0,0,0,0,0,0,0
